k_effective;failure_rate;success_rate;avg_bounces;avg_failed
1;0.05;0.9;0.1;5.2
1;0.1;0.75;0.25;9.7
1;0.15;0.15;0.85;13.1
1;0.25;0.35;0.65;15.0
1;0.2;0.05;0.95;17.7
2;0.05;1.0;0.45;3.3
2;0.1;0.4;1.3;10.3
2;0.15;0.25;1.65;12.0
2;0.2;0.5;1.3;14.35
2;0.25;0.65;0.95;16.55
3;0.05;1.0;0.0;5.55
3;0.1;1.0;0.0;7.85
3;0.15;0.85;1.4;12.75
3;0.2;0.65;1.3;16.0
3;0.25;0.6;1.2;17.1
4;0.05;1.0;0.85;6.85
4;0.1;0.9;1.1;9.85
4;0.15;0.9;1.25;11.7
4;0.2;0.8;2.1;14.7
4;0.25;0.15;3.65;16.85
5;0.05;1.0;0.0;5.55
5;0.1;0.95;1.05;10.0
5;0.15;1.0;0.55;11.5
5;0.2;0.85;2.2;14.15
5;0.25;0.7;2.1;17.45
6;0.05;1.0;0.6;6.7
6;0.1;0.7;3.25;9.95
6;0.2;0.8;2.15;11.95
6;0.15;0.75;3.6;15.5
6;0.25;0.65;3.35;15.65
7;0.05;1.0;0.1;4.95
7;0.1;1.0;0.0;9.0
7;0.15;1.0;0.0;13.4
7;0.2;0.65;3.75;16.8
7;0.25;0.75;1.9;19.6
8;0.05;1.0;0.05;3.65
8;0.1;1.0;0.0;9.9
8;0.2;0.6;4.3;13.9
8;0.15;0.9;1.55;14.3
8;0.25;0.75;2.6;16.1
